from	to
6667	861
6667	6688
6667	7020
6667	7391
6667	7392
6667	7490
6667	8731
6667	5328
6667	3356
6667	595
6667	1030
6667	8900
6667	8061
6667	374
6667	351
6667	5243
6667	231
6667	213
6667	9308
6667	1026
6667	1071
6667	1588
6667	1543
6667	1592
6667	1956
6667	3292
6667	23415
6667	131096
6667	3880
6667	3991
6667	4318
6667	4585
6667	4586
6667	8996
6667	5744
6667	949
6667	2689
6667	3135
6667	4056
6667	5329
6667	5423
6667	11336
6667	328
6667	189
6667	183
6667	3484
6667	4057
6667	4144
6667	4311
6667	4321
6667	5669
6667	6647
6667	10875
6667	2204
6667	2194
6667	7077
6667	1551
6667	930
6667	929
6667	891
6667	4953
6667	5046
6667	5055
6667	7076
6667	943
6667	2908
6667	1655
6667	3162
6667	9156
6667	1621
6667	1594
6667	1583
6667	1139
6667	683
6667	7015
6667	3560
6667	7980
6667	7134
6667	7431
6667	3315
6667	3875
6667	3718
6667	3687
6667	921
6667	4332
6667	6948
6667	9332
6667	8174
6667	695
6667	3868
6667	3485
6667	933
6667	6590
6667	7343
6667	1736
6667	1048
6667	1178
6667	1576
1277	2313
1277	4602
1277	4782
1277	4790
367	1958
367	2099
367	2100
367	2113
367	3201
367	3204
367	3214
367	4602
367	4790
367	5371
367	5451
367	5460
367	5914
367	5915
367	5916
367	6932
367	1906
367	5328
367	2205
367	5327
367	345
367	6319
367	51129
367	7350
367	3383
367	595
367	374
367	6121
367	354
367	5243
367	231
367	213
367	250
367	335
367	338
367	348
367	8209
367	958
367	9308
367	1012
367	1026
367	1071
367	1382
367	1588
367	1543
367	1592
367	1956
367	9982
367	2805
367	3157
367	3292
367	3630
367	23415
367	131096
367	8570
367	3818
367	3880
367	3988
367	3991
367	4318
367	4582
367	4585
367	4586
367	7080
367	8996
367	5284
367	10957
367	5449
367	5742
367	5744
367	5920
367	56729
367	6279
367	6280
367	949
367	10648
367	10501
367	6439
367	6528
367	6594
367	6595
367	6609
367	7038
367	7051
367	7173
367	7352
367	54575
367	3569
466	1958
466	2313
466	6352
466	7350
466	7037
466	3398
466	8900
466	4582
466	7038
466	3569
466	1584
466	1113
466	1081
466	2689
466	3135
466	4014
466	4056
466	9412
466	4628
466	4907
466	4922
466	5122
466	5329
466	5423
466	6573
466	6574
466	6532
466	6707
466	8869
466	11336
466	925
466	796
466	360
466	328
466	189
466	183
466	43
466	7150
466	7368
466	7433
466	1585
466	7432
675	2099
675	2113
675	4790
675	7391
675	7392
1051	1958
1051	5460
1051	2152
1051	6352
1051	3383
1051	7018
1051	5243
1051	213
1051	1012
1051	1071
1051	1588
1051	3157
1051	5742
1051	54575
1051	3569
1051	7150
1051	6441
1051	6647
1051	1465
1051	2006
1051	930
1051	929
1051	3481
1051	1645
1052	5460
1052	2152
1052	6352
1052	595
1052	7018
1052	1071
1052	1588
1052	3157
1052	3569
1052	6441
1052	1465
1052	2006
1053	4602
1053	6688
1053	8996
1053	4057
1053	4353
1053	2623
1875	5933
1958	2113
1958	2114
1958	4602
1958	7020
1958	7490
1958	5328
1958	2152
1958	6352
1958	51129
1958	595
1958	374
1958	5243
1958	231
1958	335
1958	1012
1958	1382
1958	1956
1958	23415
1958	131096
1958	6528
1958	7173
1958	3569
1958	1113
1958	43
1958	1636
1958	6647
1958	2194
1958	8288
1958	7077
1958	2322
1958	930
1958	3481
1958	7076
1958	1139
1958	5175
1958	3560
1958	3291
1958	7980
1958	7078
2034	768
2034	4846
2099	4602
2099	5241
2099	5914
2099	6776
2099	7391
2099	5972
2099	51129
2099	595
2099	335
2099	348
2099	1026
2099	1588
2099	1543
2099	1956
2099	3880
2099	8996
2099	10957
2099	5449
2099	6594
2099	6595
2099	1081
2099	4907
2099	6401
2099	4057
2099	5669
2099	1831
2099	1594
2099	7015
2099	4846
2099	8431
2099	3315
2099	790
2099	124872
2100	5241
2100	5914
2100	6776
2100	51129
2100	1956
2100	10957
2100	5449
2100	6594
